,Respondent_Serial,valid,YEAR,Intro,Postpone_DT,Postpone_TM,Rec_1,D1,D2,Q1_1_Q1,Q1_2_Q1,Q1_3_Q1,Q1_4_Q1,Q1_5_Q1,Q1_6_Q1,Q1_7_Q1,Q1_8_Q1,Q1_9_Q1,Q1_10_Q1,Q2,Q3_1_Q3,Q3_2_Q3,Q3_3_Q3,Q3_4_Q3,Q3_5_Q3,Q3_6_Q3,Q3_7_Q3,Q3_8_Q3,Q3_9_Q3,Q3_10_Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9b,Q10,Q111,Q112,Q113,Q12_1_Q12,Q12_2_Q12,Q12_3_Q12,Q12_4_Q12,Q12_5_Q12,Q12_6_Q12,Q12_7_Q12,Q12_8_Q12,Q12_9_Q12,Q12_10_Q12,Q13,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10
0,4059099.0,1.0,1975.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Quite Satisfied,Extremely Dissatisfied,Extremely Dissatisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Dissatisfied,Extremely Satisfied,"7UP
COCA COLA
PLANET 
BIGI",Better,Neither Better or Worse,Neither Better or Worse,Better,Neither Better or Worse,Better,Better,Better,Slightly Better,Better,Quite Satisfied,Quite Satisfied,NO COMMENT,THEY SHOULD CONTINUE SUPPLYING THEIR PRODUCT WHEN NEEDED,THEY SHOULD AT LEAST RELEASE PRODUCTS TO ME AND NOT WAIT UNTIL THEY HAVE A FULL TRUCK,8,8,THEY SHOULD DO BETTER ON THEIR PACKAGE BECAUSE IT IS TOO BAD,Packaging of product,Quality of complaint resolution,Delivery time to location from the time of order,,,,Rank 1,,Rank 3,,Rank 2,,,Strongly Agree, 7up bottle company, The Coca-Cola Company, Plannet Bottling Company,,, Nothing /none,,,,,They should give a listening ears to their dealers and supply when needed,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, They should improve on their packaging,,,,,,,,Rank 1,,Rank 3,,Rank 2,,
1,4059098.0,1.0,1974.0,Yes,,,Yes,Lagos,Dealer,Extremely Dissatisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Dissatisfied,Quite Satisfied,Extremely Dissatisfied,Extremely Dissatisfied,Quite Satisfied,"RITE FOOD 
PLANET
BIG",Slightly Better,Better,Better,Slightly Better,Neither Better or Worse,Slightly Better,Worse,Better,Better,Better,Extremely Dissatisfied,Extremely Dissatisfied,"1. THEY SHOULD NOT DELAY MY MARKET...KEEP TO DELIVERY TIME 

2. THEY SHOULD ALWAYS BRING MY FULL DELIVERY AND NOT REDUCE THE QUANTITY PAID FOR",1. CONTINUE WITH THE PROMO,1. STOP INCREASING PRICES WHEN PRODUCTS ARE MOVING WELL IN THE MARKET,6,7,THEY SHOULD TRY TO COMPENSATE DISTRIBUTORS OR ENCOURAGE THEM WITHOUT PUTTING CONDITIONS  OR TERMS BEFORE GIVING OUT GIFT,Quality of complaint resolution,Delivery time to location from the time of order,Delivery quality,,,,,,Rank 3,,Rank 2,Rank 1,,Agree, Rite Foods Limited, Plannet Bottling Company,,,, The price of the product should be reduced / They should reduce the product price,,,,,They should continue doing promotion/They should continue doing their promo,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, If there is leakage the company should compensate will the dealer/They should learn to change their bad products,,,,,,,,,,Rank 3,,Rank 2,Rank 1,
2,4057999.0,1.0,1991.0,Yes,,,Yes,Kano,Dealer,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,"7up,Mamuda(Pop cola)",Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Extremely Satisfied,Quite Satisfied,"They should offer a faster delivery
They should reduce their product price",They should keep their product quality and taste,"They should increase the CL of the drink
They should offer fast delivery",7,5,None,Quality,Ease of buying products,Pricing of product,Rank 1,Rank 3,Rank 2,,,,,,,,Agree, 7up bottle company, Mamuda Beverages,,,, The price of the product should be reduced / They should reduce the product price,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,The bottle has to be more solid,Delay in supply / Delaying delivery of goods / They should be delivering promptly,, Nothing / none,,,,,Rank 1,Rank 3,Rank 2,,,,,,,
3,4057540.0,1.0,1977.0,Yes,,,Yes,Kano,Dealer,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Dissatisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Pizzy,Slightly Better,Neither Better or Worse,Slightly Worse,Slightly Worse,Slightly Worse,Slightly Better,Neither Better or Worse,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Quite Satisfied,Quite Satisfied,"They should be giving money as commission instead of adding products to our orders,.",They should keep delivering products on time,"any time there will be Increase in price, they should Inform us before the price Increase",8,6,"They should reduce the Price of their products, as there's low patronage as a result frequent increase in price",Quality,Response of staff to requests,Behaviour of supplier representative,Rank 2,,,,Rank 3,,Rank 1,,,,Agree, None,,,,, They should be attending to customers queries on time / They should timely respond to customer complaints,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, They should provide incentives like cooler and chiller to promote their products /They should have a special incentives,,,,,Rank 2,,,,Rank 3,,Rank 1,,,
4,4056264.0,1.0,1998.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,"Coke 
Pepsi
Bigi
Big",Neither Better or Worse,Better,Neither Better or Worse,Better,Slightly Worse,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Slightly Worse,Quite Satisfied,Quite Satisfied,"Prompt Delivery 
Faster response to complaints 
Better pricing",Thier packaging is really strong,Nothing,7,7,Nothing,Pricing of product,Packaging of product,Delivery time to location from the time of order,,,Rank 1,Rank 3,,,,Rank 2,,,Neutral, The Coca-Cola Company, 7up bottle company, Rite Foods Limited,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Their packaging is really strong /Packaging is handy so keep it up / They should continue in the way they package their,,,,,None,,, Nothing / none,,,,,,,Rank 1,Rank 3,,,,Rank 2,,
5,4054944.0,1.0,1972.0,Yes,,,Yes,Ibadan,Dealer,Extremely Satisfied,Quite Dissatisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,"Bigi
America
Cocacola",Slightly Worse,Better,Slightly Worse,Slightly Worse,Slightly Worse,Better,Slightly Worse,Better,Better,Worse,Extremely Satisfied,Extremely Satisfied,They should be given us credit facility like making payment a month after delivery of stock.,They should supplying us their product as soon as we make payment for us to be making the sales on time.,Nothing,7,5,Nothing,Quality,Ease of buying products,Pricing of product,Rank 2,Rank 1,Rank 3,,,,,,,,Agree, Rite Foods Limited, Plannet Bottling Company, The Coca-Cola Company,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,None,,, Nothing / none,,,,,Rank 2,Rank 1,Rank 3,,,,,,,
6,4051496.0,1.0,1980.0,Yes,,,Yes,Benin,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,"Pepsi,coca cola",Better,Better,Slightly Better,Better,Better,Slightly Better,Better,Better,Better,Better,Extremely Satisfied,Extremely Satisfied,"They should supply on time, they should improve on the packaging of their packs",Keep supplying on time,They should have their own vehicle,8,7,"They should have their own vehicle like other companies, they should have their own warehouse in Benin if they can't open branch in Benin city",Quality,Ease of buying products,Delivery time to location from the time of order,Rank 1,Rank 3,,,,,,Rank 2,,,Agree, 7up bottle company, The Coca-Cola Company,,,, They should improve on their taste,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,Controlling of  a new registration of customers within an area,,," They should have their own vehicle like other companies,",,,,,Rank 1,Rank 3,,,,,,Rank 2,,
7,4050639.0,1.0,2023.0,Yes,,,Yes,Benin,Retailer,Extremely Satisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Extremely Satisfied,Quite Dissatisfied,Quite Satisfied,Extremely Satisfied,"Cocacola product
7up product.",Better,Better,Neither Better or Worse,Neither Better or Worse,Better,Slightly Better,Neither Better or Worse,Slightly Better,Slightly Better,Neither Better or Worse,Quite Satisfied,Quite Satisfied,They should change leakage product for retailers.,Retain the quality of the drink,Try change leakages for retailers.,9,10-Extremely  likely,No,Quality,Ease of buying products,Pricing of product,Rank 1,Rank 3,Rank 2,,,,,,,,Agree, The Coca-Cola Company, 7up bottle company,,,, All the damage returns and linkage returns should be calculated and brought back to us/They should start doing change o,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,Try change leakages for retailers.,,, Nothing / none,,,,,Rank 1,Rank 3,Rank 2,,,,,,,
8,4049790.0,1.0,1985.0,Yes,,,Yes,Abuja,Dealer,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Satisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Satisfied,Coca-Cola and hollandia,Slightly Better,Better,Slightly Better,Better,Better,Slightly Better,Better,Better,Better,Better,Extremely Dissatisfied,Quite Dissatisfied,They should try to meet up with their customers demand in supplying at the agreement time.,They should try as much as they can to meet up with their customers request on time .,They should stop delaying customers supplies,6,8,They should improve on meeting up with time to supply customers after placing orders they should keep to their words and stop disappointing customers.,Quality,Response of staff to requests,Delivery time to location from the time of order,Rank 1,,,,Rank 3,,,Rank 2,,,Agree, The Coca-Cola Company, CHI Limited,,,, They should be attending to customers queries on time / They should timely respond to customer complaints,,,,,Quick response to customers / They should keep resolving issues fast as usual.,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,," They should be supply me product on time/They should stop delay, and respond fast /Just improve in fastness in services", They should be consistent in their level of supply of their products,,,,Rank 1,,,,Rank 3,,,Rank 2,,
9,4049586.0,1.0,2023.0,Yes,,,Yes,Benin,Retailer,Extremely Satisfied,Quite Satisfied,Extremely Dissatisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,"Coke company
7up company",Neither Better or Worse,Better,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Better,Better,Quite Satisfied,Quite Satisfied,"Should give souvenir.
Put much into advertising. Make the product more popular",None,None,7,10-Extremely  likely,Make their product more competitive by adjusting down slightly .,Quality,Ease of buying products,Pricing of product,Rank 1,Rank 2,Rank 3,,,,,,,,Agree, The Coca-Cola Company, 7up bottle company,,,," They services and everything is very ok,they are topnotch",,,,,Nothing,,,,,None,,, They should make their product more competitive by adjusting down slightly,,,,,Rank 1,Rank 2,Rank 3,,,,,,,
