,Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
0,Small Appliance,$0,$739,13,12,M,Single,23,Own,3,Unskilled,Low
1,Furniture,$0,"$1,230",25,0,M,Divorced,32,Own,1,Skilled,High
2,New Car,$0,$389,19,119,M,Single,38,Own,4,Management,High
3,Furniture,$638,$347,13,14,M,Single,36,Own,2,Unskilled,High
4,Education,$963,"$4,754",40,45,M,Single,31,Rent,3,Skilled,Low
5,Furniture,"$2,827",$0,11,13,M,Married,25,Own,1,Skilled,Low
6,New Car,$0,$229,13,16,M,Married,26,Own,3,Unskilled,Low
7,Business,$0,$533,14,2,M,Single,27,Own,1,Unskilled,Low
8,Small Appliance,"$6,509",$493,37,9,M,Single,25,Own,2,Skilled,High
9,Small Appliance,$966,$0,25,4,F,Divorced,43,Own,1,Skilled,High
10,Business,$0,$989,49,0,M,Single,32,Rent,2,Management,High
11,New Car,$0,"$3,305",11,15,M,Single,34,Rent,2,Unskilled,Low
12,Business,$322,$578,10,14,M,Married,26,Own,1,Skilled,Low
13,New Car,$0,$821,25,63,M,Single,44,Own,1,Skilled,High
14,New Car,$396,$228,13,26,M,Single,46,Own,3,Unskilled,Low
15,Used Car,$0,$129,31,8,M,Divorced,39,Own,4,Management,Low
16,Furniture,$652,$732,49,4,F,Divorced,25,Own,2,Skilled,High
17,New Car,$708,$683,13,33,M,Single,31,Own,2,Skilled,Low
18,Repairs,$207,$0,28,116,M,Single,47,Own,4,Skilled,Low
19,Education,$287,"$12,348",7,2,F,Divorced,23,Rent,2,Skilled,High
20,Furniture,$0,"$17,545",34,16,F,Divorced,22,Own,4,Skilled,High
21,Furniture,$101,"$3,871",13,5,F,Divorced,26,Rent,4,Skilled,High
22,Furniture,$0,$0,25,23,M,Married,19,Own,4,Skilled,High
23,Furniture,$0,$485,37,23,F,Divorced,27,Own,2,Management,High
24,New Car,$0,"$10,723",11,15,M,Single,39,Rent,2,Unskilled,Low
25,Business,$141,$245,22,33,M,Single,26,Own,3,Skilled,Low
26,Used Car,$0,$0,19,58,M,Single,50,Other,4,Skilled,High
27,Used Car,"$2,484",$0,49,46,M,Single,34,Other,1,Skilled,Low
28,Small Appliance,$237,$236,37,24,M,Single,23,Rent,4,Skilled,Low
29,Small Appliance,$0,$485,19,12,M,Single,23,Own,2,Skilled,Low
30,Education,$335,"$1,708",37,7,M,Single,46,Other,4,Skilled,High
31,Small Appliance,"$3,565",$0,31,32,M,Single,35,Own,3,Skilled,Low
32,Small Appliance,$0,$407,13,2,F,Divorced,28,Own,2,Skilled,Low
33,Business,"$16,647",$895,16,34,M,Single,25,Rent,4,Skilled,Low
34,Business,$0,$150,49,46,F,Divorced,36,Rent,4,Skilled,High
35,Small Appliance,$0,$490,5,41,M,Single,41,Own,1,Unskilled,Low
36,Furniture,$0,$162,25,1,M,Divorced,54,Own,1,Skilled,High
37,Small Appliance,$940,$715,9,40,F,Divorced,43,Own,2,Unskilled,Low
38,Small Appliance,$0,$323,49,42,M,Married,33,Own,1,Skilled,High
39,New Car,$0,$128,13,74,M,Single,34,Own,3,Skilled,High
40,Other,$218,$0,49,0,M,Single,39,Other,4,Unemployed,Low
41,Used Car,$0,$109,25,26,M,Single,34,Own,3,Unskilled,Low
42,Small Appliance,"$16,935",$189,37,60,M,Single,30,Own,2,Skilled,Low
43,Furniture,$664,$537,31,33,M,Single,48,Own,2,Skilled,High
44,Furniture,$150,"$6,520",12,1,F,Divorced,19,Own,1,Skilled,Low
45,Small Appliance,$0,$138,7,119,M,Married,29,Rent,2,Skilled,Low
46,Furniture,$216,$0,19,3,F,Divorced,26,Rent,3,Skilled,High
47,New Car,$0,$660,17,75,M,Single,42,Rent,4,Skilled,High
48,Business,$0,$724,25,8,M,Single,30,Rent,2,Skilled,High
49,Small Appliance,$0,$897,19,5,M,Married,38,Own,4,Skilled,Low
50,Small Appliance,$265,$947,25,5,M,Married,21,Own,1,Skilled,High
51,Furniture,"$4,256",$0,16,36,F,Divorced,32,Rent,4,Unskilled,Low
52,Business,$870,$917,28,6,M,Single,35,Own,2,Skilled,High
53,New Car,$162,$595,22,10,M,Divorced,46,Own,4,Skilled,Low
